"Gene","Genus","r","p_raw","p_adj","gene_dir","genus_dir"
"Csn3","Corynebacterium",0.797268583261859,0.0032922642485822,0.905240566315289,2,1
"Thbs1","Pseudomonas",-0.709090909090909,0.0145520519537277,0.905240566315289,4,1
"B3galt5","Streptococcus",0.709090909090909,0.0145520519537277,0.905240566315289,2,1
"Thbs1","Ralstonia",-0.7,0.0164709788365145,0.905240566315289,4,1
"Thbs1","Enterococcus",-0.690909090909091,0.018565033381595,0.905240566315289,4,1
"Svs2","Bacteroides",-0.678927655161256,0.0216070023461268,0.905240566315289,2,-1
"Nnat","Brevibacillus",0.645454545454546,0.0319627993280176,0.905240566315289,2,-1
"Pbk","Streptococcus",-0.627272727272727,0.0388452536203534,0.905240566315289,4,1
"Thbs1","Streptococcus",-0.627272727272727,0.0388452536203534,0.905240566315289,4,1
"Krt79","Pseudomonas",0.618181818181818,0.0426455698053267,0.905240566315289,2,1
"Thbs1","Alloprevotella",0.618181818181818,0.0426455698053267,0.905240566315289,4,-1
"Chordc1","Alloprevotella",0.609090909090909,0.0466957093540987,0.905240566315289,4,-1
"Nusap1","Bacteroides",0.609090909090909,0.0466957093540987,0.905240566315289,4,-1
"Scoc","Corynebacterium",-0.609090909090909,0.0466957093540987,0.905240566315289,4,1
"Ifi44","Corynebacterium",-0.609090909090909,0.0466957093540987,0.905240566315289,4,1
"Pmaip1","Corynebacterium",-0.609090909090909,0.0466957093540987,0.905240566315289,4,1
"Irgm2","Corynebacterium",-0.609090909090909,0.0466957093540987,0.905240566315289,4,1
