"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",2.21551815629286e-07,2.76424992787569e-05,0.690132458796796,-0.629504057978116,-2.4364729510586,40,"Cd74/B2m/Rfxank/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/Tapbp/Hspa5/H2-Eb1/H2-Q7/H2-Q1/Tap1/Hspa8/Canx/Ctsb/Pdia3/Calr/Psme2"
"KEGG_AUTOIMMUNE_THYROID_DISEASE",4.38468275800342e-07,2.76424992787569e-05,0.674962860011025,-0.802978482533991,-2.48813786293005,17,"Gzmb/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/H2-Eb1/H2-Q7/H2-Q1"
"KEGG_ALLOGRAFT_REJECTION",5.52849985575138e-07,2.76424992787569e-05,0.659444398037935,-0.799346355570706,-2.47688322433526,17,"Gzmb/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/H2-Eb1/H2-Q7/H2-Q1"
"KEGG_TYPE_I_DIABETES_MELLITUS",7.56343805527205e-07,2.83628927072702e-05,0.659444398037935,-0.752070311857584,-2.42315930908312,20,"Gzmb/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/H2-Eb1/H2-Q7/Il1b/H2-Q1"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",2.10127798493291e-06,6.30383395479873e-05,0.627256739718528,-0.775631255862113,-2.40339876766351,17,"Gzmb/H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/H2-Eb1/H2-Q7/Il1b/H2-Q1"
"KEGG_PROTEASOME",3.65771707830915e-06,9.14429269577288e-05,0.627256739718528,-0.707087278993605,-2.39918265243404,24,"Psmd14/Psma5/Psmc6/Psmb8/Psmc2/Psmc3/Psmd12/Psmc1/Psmd6/Psma6/Psmb9/Psmd7/Psmb2/Psmd1"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",2.83948830394798e-05,0.000608461779417424,0.575610261071129,-0.586751044637913,-2.15543127193141,33,"Lap3/Glud1/Ckmt1/Nags/Otc/Arg2/Aoc1/Maob/Oat/Odc1/Nos3/Gls2/Aldh3a2/Nos2/Aldh18a1/Asl/Sat2"
"KEGG_VIRAL_MYOCARDITIS",0.000795782960325075,0.0149209305060951,0.477270815362862,-0.471654501658846,-1.87573541667208,46,"Cd55/H2-T23/H2-Q2/H2-D1/Casp8/H2-DMb1/Gm8909/H2-DMa/H2-Eb1/H2-Q7/H2-Q1/Rac1"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.00330534715232314,0.0550891192053857,0.431707695803346,-0.624670178732167,-1.89891979524999,16,"Mdh1/Mdh2/Sdhb/Pdha1/Sucla2/Cs"
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.00595399188092016,0.0805412371134021,0.310776919977249,-0.538841144892321,-1.78052685129267,22,"H2-DMb1/H2-DMa/Icosl/H2-Eb1/Tnfrsf17/Tnfsf13b/Il15/Ccr9"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.00612244897959184,0.0805412371134021,0.318279675040437,-0.456919566451089,-1.71782995588519,36,"Tnfrsf1a/Map2k3/Derl1/Cat/Chp2/Rac1/Apaf1/Gria2/Ppp3ca/Nefh/Rab5a/Gria1/Casp3/Ppp3r1/Cycs/Ppp3cc"
"KEGG_RIBOSOME",0.00644329896907216,0.0805412371134021,0.215782858966574,0.420429098536739,1.60370278507897,65,"Rpl36al/Rplp2/Rps28/Rpl38/Rps24/Rps27/Rpl37a/Rpl8/Rpl36a/Rpl21/Fau/Rpl35a/Rpsa/Rps9/Rps19/Rps8/Rps23/Rps27a/Rplp1/Rpl37/Rpl9/Rps13/Rps26/Mrpl13/Rps15"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.00750341064120055,0.0865778150907755,0.310776919977249,-0.359328528496082,-1.56205191816627,71,"H2-T23/H2-Q2/H2-D1/H2-DMb1/Gm8909/H2-DMa/Itga8/Sele/Icosl/H2-Eb1/Cldn4/H2-Q7/Cldn15/H2-Q1/Nrxn3/Ncam2"
"KEGG_PARKINSONS_DISEASE",0.0110163468372424,0.118032287541882,0.260820567718869,-0.32950536212657,-1.47535899661347,82,"Ubb/mt-Nd6/Slc25a5/mt-Nd5/Sdhb/Ndufs8/Uqcrc1/mt-Nd2/Ndufa4/Atp5c1/mt-Atp6/Vdac2/Apaf1/Ube2l6/mt-Co2/mt-Cytb/mt-Nd4/mt-Nd1/Ndufa9"
"KEGG_HISTIDINE_METABOLISM",0.0185233498565093,0.180540966386555,0.171214318379654,-0.530989428753562,-1.6667814291069,18,"Aspa/Acy3/Aoc1/Aldh3b1/Ddc/Maob/Aldh1a3/Aldh3a2/Bud23"
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",0.0198657718120805,0.180540966386555,0.167658528065765,-0.505340601684588,-1.62819986897921,20,"Upp1/Tymp/Dpyd/Cyp3a13/Nat2/Ugt2a3/Ugt2b1/Cyp3a25"
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.0204613095238095,0.180540966386555,0.194887297433682,-0.303586420920807,-1.40099446423217,96,"Calm1/Bst1/Slc25a5/Pln/Ryr3/Plcg2/Ednrb/Slc8a3/Chp2/Ltb4r2/Chrm2/Adora2b/P2rx1/Vdac2/Gna11/Nos3/Pde1a/Mylk/Ppp3ca/Calm2/Nos2/Camk2d/Htr2b/Adrb1/Itpka/Adra1a/Phkg2/Calm3/Ppp3r1/Tacr3/Ppp3cc/Plcb3/Ppid/Prkacb/Adcy4"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.0263300760043431,0.219417300036193,0.146151534304949,-0.468125803165293,-1.56731092891386,23,"Ripk3/Il33/Il1b/Tbk1/Zbp1/Mavs/Polr3d/Ccl4/Ccl5/Il18/Ripk1"
"KEGG_APOPTOSIS",0.0327072538860104,0.258215162257977,0.143184642183776,-0.338343276259162,-1.40583317343635,57,"Tnfrsf1a/Endog/Casp8/Casp6/Pik3r2/Chp2/Casp7/Il1b/Tradd/Apaf1/Ppp3ca/Prkar2b/Pik3ca/Pik3r5/Irak2/Casp3/Ripk1/Ppp3r1/Prkar1a/Cycs/Ppp3cc/Prkacb/Pik3cg"
"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION",0.0372353991328743,0.274934668989547,0.118729771541953,-0.527530809093256,-1.57117252817261,15,"Glud1/Mdh1/Aqp1/Atp1a1/Atp1b1/Gls2"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.0384908536585366,0.274934668989547,0.143184642183776,-0.278622680798914,-1.30910718585542,106,"Tnfrsf1a/Il13ra1/Cxcl16/Il4ra/Il1b/Tnfrsf17/Tnfsf13b/Tnfsf12/Prlr/Ghr/Vegfa/Pdgfa/Il15/Pdgfc/Il17rb/Cxcl13/Ccr9/Tnfrsf12a/Ccl4/Vegfc/Kdr/Il18r1/Ccl5/Il18/Xcl1/Il10rb/Il7r/Bmp2/Ccl25/Bmpr2/Ctf1/Ccl24/Il2rg/Acvr2a/Lepr/Ccr10/Tnfrsf19/Csf3r/Vegfb/Bmp7/Csf2/Cxcl14"
"KEGG_PEROXISOME",0.0432267884322679,0.294728102947281,0.120420653167431,-0.351226974318614,-1.404554683407,47,"Ephx2/Far2/Acsl5/Abcd1/Cat/Scp2/Acaa1a/Prdx1/Pex2/Baat/Mpv17/Acot8/Nos2/Paox/Hsd17b4"
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",0.0463739516526887,0.301724137931034,0.0847686054189199,0.549555037353695,1.50367496426751,15,"Mpst/Cdo1/Cbs/Ahcyl2/Dnmt3b/Ahcy/Dnmt3l/Adi1"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.0482758620689655,0.301724137931034,0.121293105191013,-0.303594358952533,-1.3324854626457,74,"mt-Nd6/Ppa1/mt-Nd5/Sdhb/Ndufs8/Uqcrc1/mt-Nd2/Ndufa4/Atp5c1/mt-Atp6/Atp6v1d/mt-Co2/mt-Cytb/mt-Nd4/mt-Nd1/Ndufa9"
"KEGG_LYSOSOME",0.0549558390578999,0.319948537378115,0.071472137805893,0.347448163511834,1.36609025375643,78,"Psap/Galc/Sgsh/Sort1/Mcoln1/Smpd1/Cd68/Gm2a/Npc2/Neu1/Arsb/Atp6v0a2/Cd63/Ap1s1/Ap4m1/Ctsd/Hexa/Ppt2/Atp6v0c/Ctsl/Gla/Asah1/Gusb/Ap3b2/Idua/Ap3m1"
"KEGG_MAPK_SIGNALING_PATHWAY",0.0554577464788732,0.319948537378115,0.12797030576243,-0.25232577979662,-1.25109976795694,146,"Tnfrsf1a/Map3k6/Map2k3/Fos/Ptprr/Hspb1/Ppm1a/Pak1/Ddit3/Dusp6/Pla2g12b/Mapk8/Chp2/Il1b/Rac1/Rap1b/Pdgfa/Nras/Map3k1/Hspa8/Ppp3ca/Atf2/Map2k2/Map3k13/Map3k2/Rapgef2"
"KEGG_PYRUVATE_METABOLISM",0.0597140454163162,0.331744696757312,0.0979108420486795,-0.405423609571523,-1.41586630078238,27,"Mdh1/Mdh2/Hagh/Pklr/Pdha1/Acot12/Haghl/Me1/Aldh3a2"
"KEGG_TIGHT_JUNCTION",0.0711756373937677,0.35296550094518,0.100860025098152,-0.287972063580464,-1.2807014255356,80,"Mylpf/Csnk2b/Cldn4/Gnai2/Prkch/Cldn15/Tjap1/Actn2/Actn4/Rhoa/Nras/Pard6g/Gnai3/Magi2/Ocln/Mras/Patj/Prkce/Jam3/Ctnna1/Jam2/Cldn7/Myl9/Pard3/Cask/Myh4/Mpdz/Myh11/Cdk4/Rras/Akt3/Ybx3/Yes1/Cdc42/Csnk2a2"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.071475843812045,0.35296550094518,0.0972120409994456,-0.304503789122224,-1.30076312065084,64,"Il13ra1/Jak2/Pik3r2/Socs4/Il4ra/Stat1/Prlr/Ghr/Socs3/Il15/Stam/Pik3ca/Pik3r5/Spry3/Jak1/Il10rb/Il7r/Socs2/Ctf1/Il2rg/Lepr/Csf3r/Csf2/Pim1/Pik3cg"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.07255098629221,0.35296550094518,0.0969823177419894,-0.299241176629291,-1.29177491950908,68,"Gzmb/H2-T23/H2-D1/Gm8909/Pak1/Pik3r2/Plcg2/Chp2/H2-Q7/Rac1/Cd48/Nras/Ppp3ca/Map2k2/Vav2"
"KEGG_LONG_TERM_POTENTIATION",0.072972972972973,0.35296550094518,0.0915140765993025,-0.33650353501846,-1.32641912435849,44,"Calm1/Chp2/Rap1b/Nras/Gria2/Ppp3ca/Map2k2/Calm2/Camk2d/Gria1/Ppp1r12a/Calm3/Ppp3r1/Ppp3cc/Rps6ka2/Plcb3/Prkacb"
"KEGG_VEGF_SIGNALING_PATHWAY",0.075299306868305,0.35296550094518,0.0922972084621158,-0.319088967044632,-1.30193480374065,52,"Hspb1/Pla2g12b/Pik3r2/Plcg2/Chp2/Rac1/Vegfa/Nos3/Nras/Ppp3ca/Map2k2/Pik3ca/Kdr/Pik3r5/Sh2d2a"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.0792913157130409,0.360415071422913,0.0861969619137114,-0.360458931628835,-1.34774703162957,35,"Pklr/Galm/Aldob/Bpgm/Eno1/Aldh3b1/Pdha1/Aldh1a3/Tpi1/Fbp2/Aldh3a2/Akr1a1/Adh7/Pgk1/Fbp1/Ldha/Ldhb"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.0838100686498856,0.369750302867142,0.0831123213823906,-0.372924277844931,-1.3525848248742,31,"Cyp3a13/Aldh3b1/Maob/Aldh1a3/Gsto1/Cyp2d22/Fmo4/Mgst1/Ugt2a3/Ugt2b1/Cyp3a25/Adh7/Cyp2e1"
"KEGG_PURINE_METABOLISM",0.0882758620689655,0.376359751359751,0.0890961354495908,-0.285693051798259,-1.25391604644269,74,"Ada/Nudt5/Enpp3/Pklr/Adss/Gda/Prim1/Nme6/Pde1a/Adprm/Adssl1/Polr3d/Nudt2/Pde4b/Prune1/Pold1"
"KEGG_GLIOMA",0.0903263403263403,0.376359751359751,0.0807267478771111,-0.33722164384821,-1.30520431653237,40,"Calm1/Rb1/Pik3r2/Plcg2/Pdgfa/Nras/Map2k2/Calm2/Pik3ca/Mdm2/Camk2d/Pik3r5"
"KEGG_ALZHEIMERS_DISEASE",0.100609756097561,0.399951076320939,0.0876971923285634,-0.257870649464511,-1.2116038768532,106,"Tnfrsf1a/Calm1/Casp8/Ryr3/Sdhb/Chp2/Ndufs8/Casp7/Il1b/Uqcrc1/Ndufa4/Atp5c1/Mme/mt-Atp6/Apaf1/mt-Co2/App/Ppp3ca/mt-Cytb/Ndufa9/Calm2"
"KEGG_PPAR_SIGNALING_PATHWAY",0.101449275362319,0.399951076320939,0.0758099300882185,-0.356211397609512,-1.30854336407657,33,"Cd36/Fabp2/Aqp7/Acsl5/Fabp7/Scp2/Acaa1a/Me1/Slc27a4/Apoa1/Angptl4"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.106354334948842,0.399951076320939,0.0711887468782548,-0.409643988867262,-1.33674863200357,21,"Glud1/Adss/Aspa/Acy3/Asns/Gls2/Adssl1/Asl/Adsl/Gls/Gpt/Nit2"
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.10665362035225,0.399951076320939,0.0545603266717044,0.479085306011368,1.35331169710513,17,"Ndst4/Extl2/Xylt1/Glce/Xylt2/Hs6st1/B3gat3/B4galt7/Extl3/B3galt6/Ndst2"
"KEGG_AMINOACYL_TRNA_BIOSYNTHESIS",0.117912552891396,0.43138738862706,0.0691171906949246,-0.361464506963777,-1.28989970004738,29,"Aars/Yars2/Rars/Sars/Yars/Tars/Lars/Vars/Hars"
"KEGG_GLYCEROLIPID_METABOLISM",0.132600959306823,0.464256544727679,0.0471376665555693,0.402862548839011,1.29576551959986,28,"Dgkh/Gpat4/Mboat1/Aldh7a1/Lipc/Gpam/Awat2/Mboat2"
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.133086876155268,0.464256544727679,0.062655195332066,-0.407918076089997,-1.29853455763424,19,"Gmppb/Mtmr7/Aldob/Mpi/Tpi1/Pfkfb3/Fbp2"
"KEGG_TRYPTOPHAN_METABOLISM",0.137318255250404,0.46583850931677,0.0622655030196783,-0.393809705813627,-1.28507826264399,21,"Cat/Aoc1/Ido1/Ddc/Maob"
"KEGG_AXON_GUIDANCE",0.141697003640437,0.46583850931677,0.0430067286602703,0.312273695165238,1.22440016925262,76,"L1cam/Sema3c/Sema4g/Srgap1/Srgap3/Sema6d/Efna3/Limk2/Mapk3/Ephb2/Efnb3/Chp1/Unc5a/Cdk5/Arhgef12"
"KEGG_LEISHMANIA_INFECTION",0.142857142857143,0.46583850931677,0.0635916868333331,-0.316392335143348,-1.2334873902011,41,"Fos/H2-DMb1/Jak2/H2-DMa/H2-Eb1/Il1b/Stat1"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.154424325247694,0.492843591216044,0.0663458340758821,-0.270624152406994,-1.18167629590003,72,"Mylpf/Pik3r2/Plcg2/Ezr/Cldn4/Gnai2/Cldn15/Actn2/Actn4/Rac1/Rhoa/Rap1b/Vav2/Gnai3/Vcam1/Pik3ca/Pik3r5/Rock1/Ocln/Jam3/Ctnna1/Jam2/Cldn7/Myl9"
"KEGG_FOCAL_ADHESION",0.158841940532081,0.496381064162754,0.0701763259905319,-0.241952756013438,-1.15494279193531,115,"Zyx/Mylpf/Pak1/Tnc/Itga8/Pik3r2/Mapk8/Lamc2/Actn2/Actn4/Rac1/Rhoa/Cav2/Rap1b/Vegfa/Pdgfa/Lama3/Pdgfc/Mylk/Itga11/Vav2/Pik3ca/Vegfc/Kdr/Pik3r5/Lama4/Rock1/Lama2/Cav1/Ppp1r12a"
"KEGG_MELANOGENESIS",0.163106796116505,0.499306518723994,0.062655195332066,-0.282464252446141,-1.19078326764294,60,"Calm1/Creb3/Creb3l3/Ednrb/Gnai2/Nras/Wnt4/Map2k2/Gnai3/Calm2/Fzd4/Fzd7/Dvl1/Camk2d"
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.178525886253507,0.534637748367995,0.0526059181483477,-0.419612580528117,-1.24975403831788,15,"Dera/Aldob/Rbks/Fbp2"
