"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_AMIDE_METABOLIC_PROCESS",1.164652386768e-10,1.96567937757934e-07,0.826657301178302,0.423789997567655,2.04533850968387,267,"Hmgcs1/Cpa3/St6galnac5/Fa2h/Far2/Pcsk4/Cma1/Hmgcr/Pank1/Pla2g4e/Ace/Slc5a6/Fpgs/Hlcs/Ggt6/Dpep1/Fasn/Ppt1/Hsd17b4/Sptlc1/Amdhd2/Mvd/Ifngr1/Elovl4/Acsbg1/Dip2a/Ggt5/Mlycd/Ntrk2/Agk/G6pdx/Mccc2/Acsl5/St6gal1/Gba2/Degs2/Smpdl3b/Hmgcs2/Ldlr/Asns/Gstm7/Efna1/Ass1/Prcp/Arg2/Gal3st1/Elovl1/Galc/Mtor/Acot6/Acly/Smpd2/Nnmt/Mthfd1/Ctsl/Furin/Gstm2/Gstm4/Nfe2l1/Pm20d2/Ormdl3/Cd36/Ctsg/Psen2/Cyp2c66/Xpnpep1/Anpep/Csnk1e/Mecr/Naaa/Renbp/Acsf2/Elovl7/P2rx7/Hsd17b12/Aph1a/Slc25a16/Bloc1s6/B3galt1/Slc25a42/Gpam/Pdk1/Acat1/Sgpl1/Smpd1/Becn1/Acss1/Gba/Casp3/Pdhx/Htra2/Apeh/Nans/Sirt3/Mccc1"
"GOBP_PROTEIN_FOLDING",1.28686047632035e-10,1.96567937757934e-07,0.826657301178302,-0.570354557289812,-2.33344932700237,132,"Hsph1/Hsp90aa1/Dnaja1/Hspa8/Dnajb1/Hspa1b/Hspa1a/Hspd1/Chordc1/Bag3/Hsp90ab1/Ahsa2/Dnajb4/Dnaja4/Hspa5/Hspb1/Ppid/Ppil3/Fkbp4/Bag2/Mkks/Clgn/Hsp90b1/Hspa4/Ahsa1/Canx/Erp44/Ltbp4/Cct8/Lman2l/Hyou1/B2m/Cdc37l1"
"GOBP_RESPONSE_TO_VIRUS",3.52328253306667e-10,3.58787604617289e-07,0.814035837847908,-0.487153727565051,-2.12910138422109,226,"Rpsa/Hsp90aa1/Ifi44/Pmaip1/Irgm2/Ifit1/Gbp2/Ifitm1/Ifit1bl1/Oas2/Usp18/Rtp4/Tlr3/Parp9/Isg15/Zbp1/Tnfaip3/Ube2n/Ifih1/Ddx60/Dhx58/Gbp5/Hspb1/Odc1/Tbx21/Oas1g/Trim12c/Dclk1/Ifit3/Bst2/Slfn9/Irgm1/Irf7/Il15/Dtx3l/Slfn8/Jak2/Ccl5/Dhx15/Trim25/Ddx3x/Fgl2/Jak1/Stat1/Smad3/Fgr/Myd88/G3bp1/Traf3ip1/Mst1r/Nlrc5/Tbk1/Mlkl/Dhx9/Traf6/Spn/Znfx1/Ifi27/Azi2/Tnf/Rb1cc1/Smarca5/Irak3/Atg5/Fmr1/Ddit4"
"GOBP_PROTEIN_REFOLDING",7.52716196565392e-10,5.74886995126818e-07,0.801215574617779,-0.894134001065541,-2.43076782225026,17,"Hsp90aa1/Dnaja1/Hspa8/Hspa1b/Hspa1a/Hspd1/Dnaja4/Hspa5/Hspb1"
"GOBP_DE_NOVO_PROTEIN_FOLDING",1.53177706084698e-09,9.35915784177503e-07,0.788186810800237,-0.879942686808543,-2.46227113106687,19,"Hsph1/Hspa8/Dnajb1/Hspa1b/Hspa1a/Hspd1/Dnajb4/Hspa5"
"GOBP_DEFENSE_RESPONSE_TO_VIRUS",3.34518602190853e-09,1.54163083162396e-06,0.774939030136436,-0.51173099017564,-2.1584168669746,169,"Rpsa/Hsp90aa1/Pmaip1/Irgm2/Ifit1/Gbp2/Ifitm1/Ifit1bl1/Oas2/Usp18/Rtp4/Tlr3/Parp9/Isg15/Zbp1/Tnfaip3/Ube2n/Ifih1/Ddx60/Dhx58/Gbp5/Oas1g/Trim12c/Ifit3/Bst2/Slfn9/Irgm1/Irf7/Il15/Dtx3l/Slfn8/Dhx15/Trim25/Fgl2/Stat1/Myd88/G3bp1/Traf3ip1/Nlrc5/Tbk1/Mlkl/Dhx9/Traf6/Spn/Znfx1/Ifi27/Azi2/Tnf/Rb1cc1/Smarca5/Atg5/Ddit4"
"GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",3.53237833759991e-09,1.54163083162396e-06,0.774939030136436,-0.586373803995798,-2.31004668688228,102,"Hsph1/Hsp90aa1/Dnaja1/Hspa8/Dnajb1/Hspa1a/Hspd1/Bag3/Hsp90ab1/Thbs1/Dnajb4/Serpinh1/Hspa5/Tmem33/Ppp1r15a/Hspb1/Hspa4/Nck2/Erp44/Edem1"
"GOBP_DE_NOVO_POST_TRANSLATIONAL_PROTEIN_FOLDING",8.00409619550601e-09,3.05656423465886e-06,0.747739663149885,-0.900296203925908,-2.37730548315945,15,"Hsph1/Hspa8/Dnajb1/Hspa1b/Hspa1a/Dnajb4/Hspa5"
"GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS",1.71272228563094e-08,5.81374064733613e-06,0.73376198835648,0.443607444931036,2.03028182778486,179,"Hmgcs1/Extl2/Far2/Hmgcr/Pank1/Sulf2/Slc5a6/Hlcs/Ggt6/Dpep1/Cdo1/Slc25a10/Fasn/Ppt1/Hsd17b4/Mvd/Elovl4/Cth/Acsbg1/Slc35d2/Dip2a/Ggt5/Sgsh/Mlycd/G6pdx/Slc19a3/Gusb/Ghr/Msra/Mccc2/Arsg/Acsl5/Hmgcs2/Chst12/Gstm7/Extl3/Chpf2/Chst13/Elovl1/Acot6/Glce/Phgdh/Acly/Mthfd1/Pxylp1/Vangl2/Gstm2/Gstm4/Nfe2l1/Lias/Xylt2/Ndst2/Hs3st6/Acsf2/Elovl7/Hsd17b12"
"GOBP_RESPONSE_TO_BACTERIUM",3.13469035592972e-08,9.57647903736529e-06,0.719512826338911,-0.400465682105322,-1.83327949865638,355,"Mpo/Ifi44/Irgm2/Gbp2/Pglyrp4/Reg3g/Fos/Trem1/Pde4b/Nr4a1/H2-Q7/Oas2/Tent5a/Usp18/Tlr3/Il18bp/Herc6/H2-T23/Isg15/Ppbp/Klk1b9/Tnfaip3/Rgs1/Adamts9/Dhx58/Nfkbiz/Gbp5/H2-D1/Cmpk2/Sash1/Cd55/Adh7/Rps6ka3/Oas1g/Selp/Upk1b/Trim12c/Zfp36/Sele/Klk1b11/Nfkbia/Irak2/Vcam1/Plac8/Gbp9/Jchain/Irgm1/Lypd8/H2-Eb1/Plaa/Ms4a1/Cd6/Jak2/Cxcl13/Erap1/Trdn/Wasl/Litaf/Abcc8/Klk1b1/Dhx15/Epha2/Tap2/Pabpn1/Ephb2/Tnip3/Fgr/Fer1l6/Myd88/Lpl/Il10ra/Nlrc5/Cd14/Gbp4/Slamf8/Tbk1/B2m/Ahr/Traf6/Spn/Znfx1/Tnfsf8/Mlh1/2610528A11Rik/Rab1a/Tnf/Irak3/Fpr2/Nos2/Emilin1/Klhl6/Irak1/Noct/Gnrh1/Adam17/Camp"
"GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",5.99575641742258e-08,1.66518507774782e-05,0.704975715167238,-0.405157756316603,-1.84262549107304,327,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/Gbp2/Reg3g/H2-Q7/Usp18/Tlr3/H2-Q2/Parp9/H2-T23/Isg15/Adam8/Zbp1/Klk1b9/Tnfaip3/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/H2-D1/Sash1/Cd55/Rps6ka3/Oas1g/Trim12c/Rnf125/Tigar/Klk1b11/Nfkbia/Esr1/Ifi204/Irak2/Irgm1/Irf7/H2-Eb1/Il15/Hsp90b1/Dtx3l/Pvr/Erap1/Ccl5/Klk1b1/Trim25/Ddx3x/Fgl2/Ubqln1/Stat1/Tnip3/Fgr/Zdhhc18/Ythdf3/Myd88/Traf3ip1/Nlrc5/Cd14/Slamf8/Tbk1/Ceacam1/Ahr/Dhx9/Traf6/Spn/Ogt/Znfx1/Ccdc134/Washc4/Tnf/Irak3/Xrcc5/Fpr2/Emilin1/Atg5/Irak1/Cd300lf/Crk/Mfhas1/Cd37/Hck/Cnot7/Akt1/Slamf6/Oasl1"
"GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING",1.02011288622003e-07,2.59703738950183e-05,0.704975715167238,-0.708892153340206,-2.34929992987116,40,"Hsph1/Hspa8/Dnajb1/Hspa1b/Hspa1a/Chordc1/Hsp90ab1/Dnajb4/Hspa5/Hspb1/Ppid/Fkbp4"
"GOBP_ORGANIC_ACID_METABOLIC_PROCESS",2.18508547260365e-07,5.13495086061857e-05,0.690132458796796,0.321358482596545,1.64798271603213,487,"Tph2/Insig1/Lipf/Fa2h/Adipoq/Cpt1a/Mid1ip1/Slc27a4/Slc5a6/Fpgs/Clstn3/Ucp2/Nr1d1/Hlcs/Aspg/Ggt6/Dpep1/Osbpl2/Pcx/Cdo1/Msmo1/Fasn/Kyat3/Scd1/Ddc/Idh2/Hsd17b4/Fabp3/Amdhd2/Pnpla3/Serinc3/Elovl4/Dbi/Ucp3/Cth/Acsbg1/N6amt1/Prox1/Plin5/Fads3/Eci2/Hacl1/Ggt5/Glul/Mlycd/D2hgdh/Thnsl2/Ppa2/Ghr/Alox8/Bco2/Msra/Angptl4/Slc27a1/Mccc2/Sardh/Prkar2b/Acsl5/Pla2g2f/St6gal1/Gba2/Foxk1/Pla2g3/Sirt2/Echdc1/Mfsd2a/Asns/Gstm7/Ass1/Arg2/Gldc/Elovl1/Aldh1a7/Ephx1/Mtor/Acot6/Cygb/Phgdh/Acly/Pfkfb1/Acox1/Mcat/Acad9/Mif/Cyp4v3/Mthfd1/Gpt2/Casp1/Pex2/Fgfr1/Echdc2/Crabp2/Gstm2/Gstm4/Nfe2l1/Ugt1a7c/Pm20d2/Lias/Cd36/Gpt/Fah/Acbd4/Fmo2/Cyp2c66/Comt/Prkaca/Mecr/Abhd5/Cav1/Naaa/Renbp/Acsf2/Ptgis/Lypla2/Elovl7/P2rx7/Hsd17b12/Glud1/Dpyd/Slc25a16/Slc1a3/Adipor2/Stard4/Bloc1s6/Mthfd1l/Cpt1b/Slc25a42/Mecp2/Hk2/Prkag2/Ndufs6/Cyp2w1/Gpam/Ivd/Pdk1/Acat1/Selenon/Pycr1/Me3/Aldh18a1/Akr1a1/Asnsd1/Sgpl1/Atcay/Aldh6a1/Sdha"
"GOBP_RESPONSE_TO_HEAT",2.38355417116588e-07,5.20125570922269e-05,0.690132458796796,-0.626519120763073,-2.25437785969513,60,"Hsp90aa1/Dnaja1/Dnajb1/Hspa1b/Hspa1a/Chordc1/Bag3/Hsp90ab1/Thbs1/Dnajb4/Dnaja4/Hspb1/Mapt/Tcim/St8sia1/Hikeshi/Casq1/Dnajc2/Eif2s1/Irak1/Rbbp7/Stac/Akt1"
"GOBP_INCLUSION_BODY_ASSEMBLY",2.93630597227665e-07,5.98027649687012e-05,0.674962860011025,-0.865692002890313,-2.28593027075319,15,"Hsp90aa1/Dnajb1/Hspa1b/Hspa1a/Bag3/Dnaja4/Dyrk1a/Mapt"
"GOBP_REGULATION_OF_PROTEIN_UBIQUITINATION",3.18269699978328e-07,6.0769620839612e-05,0.674962860011025,-0.514890259306286,-2.0735890752005,119,"Hsp90aa1/Dnaja1/Hspa1b/Hspa1a/Hsp90ab1/Ngf/Hspa5/Isg15/Tnfaip3/Ube2n/Rps2/Sash1/Senp2/Bag2/Plaa/Prickle1/Parp10/Arrdc4/Cdc20/Dtx3l/Aimp2/Laptm5/Ddx3x/Fbxw7/Ubqln1/Mad2l1/Mapk9/Traf6/Ogt/Gtpbp4/Rassf1/Atg5"
"GOBP_FATTY_ACID_METABOLIC_PROCESS",7.16440412318496e-07,0.000128748556449,0.659444398037935,0.40486611008012,1.89139677585643,207,"Insig1/Fa2h/Adipoq/Cpt1a/Mid1ip1/Slc27a4/Msmo1/Fasn/Scd1/Hsd17b4/Fabp3/Pnpla3/Elovl4/Dbi/Ucp3/Acsbg1/Plin5/Fads3/Eci2/Hacl1/Ggt5/Mlycd/Thnsl2/Alox8/Angptl4/Slc27a1/Prkar2b/Acsl5/Pla2g2f/Pla2g3/Sirt2/Echdc1/Mfsd2a/Gstm7/Elovl1/Ephx1/Acot6/Cygb/Acly/Acox1/Mcat/Acad9/Mif/Cyp4v3/Pex2/Echdc2/Gstm2/Gstm4/Nfe2l1/Ugt1a7c/Lias/Cd36/Acbd4/Fmo2/Cyp2c66/Comt/Mecr/Abhd5/Cav1/Naaa/Acsf2/Ptgis/Lypla2/Elovl7/Hsd17b12/Adipor2/Cpt1b/Prkag2/Ndufs6/Gpam/Ivd/Pdk1/Acat1"
"GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE",9.62197920822159e-07,0.000162828958901683,0.643551836150722,-0.400086078676766,-1.78763366781045,275,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/Gbp2/Reg3g/H2-Q7/Usp18/Tlr3/H2-Q2/Parp9/H2-T23/Isg15/Adam8/Zbp1/Tnfaip3/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/H2-D1/Rps6ka3/Oas1g/Trim12c/Rnf125/Nfkbia/Esr1/Ifi204/Irak2/Irgm1/Irf7/Hsp90b1/Pvr/Erap1/Ccl5/Trim25/Ddx3x/Ubqln1/Tnip3/Fgr/Zdhhc18/Ythdf3/Myd88/Nlrc5/Cd14/Slamf8/Tbk1/Ceacam1/Dhx9/Traf6/Ogt/Znfx1/Ccdc134/Washc4/Tnf/Irak3/Xrcc5/Fpr2/Atg5/Irak1/Cd300lf/Crk/Mfhas1/Hck/Cnot7/Akt1/Slamf6/Oasl1"
"GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION",1.01268419611522e-06,0.000162828958901683,0.643551836150722,-0.40148671516236,-1.7912089401145,272,"Hsp90aa1/Hspa1b/Hspa1a/Hspd1/Thbs1/Pde4b/H2-Q7/Oas2/Tlr3/H2-Q2/Ptgs2/H2-T23/Isg15/Adam8/Kpna2/Ifih1/Dhx58/Gbp5/Hspb1/Cd55/Tbx21/Oas1g/Cd83/Postn/C1qtnf3/Irf7/Cebpg/Chil1/Arrdc4/Il15/Laptm5/Cd6/Trim16/Jak2/Adora2b/Abcc8/Ddx3x/Cyp1b1/Ephb2/Stat1/Smad3/Fgr/Rock2/Myd88/G3bp1/Lpl/Cd14/Tbk1/Mapk9/Stat3/B2m/Anxa1/Il4ra/Dhx9/Traf6/Spn/Rab1a/Tnf/Irak3/Nos2/Irak1/Adam17/Camp/Creb1"
"GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE",2.03995049354119e-06,0.000291480836824217,0.627256739718528,-0.694423699151651,-2.21942627581898,34,"Rpsa/Ifit1bl1/Oas2/Usp18/Zbp1/Ube2n/Ifih1/Dhx58/Oas1g/Ifit3/Dhx15/Trim25/Tbk1/Traf6/Tnf/Smarca5"
"GOBP_SECONDARY_ALCOHOL_METABOLIC_PROCESS",2.06979755482321e-06,0.000291480836824217,0.627256739718528,0.50510465960345,2.07502347808205,86,"Hmgcs1/Insig1/Cyp11a1/Hmgcr/Cat/Dhcr24/Lpcat3/Apobr/Msmo1/Idh2/Mvd/G6pdx/Gba2/Hmgcs2/Ldlr/Dhcr7/Ebp/Idi2/Sqle/Acly/Agt/Fdps/Mbtps1/Fgfr1/Nfe2l1/Cyp2c66/Prkaca/Sc5d/Npc2/Stard4/Agtr1a/Lmf1/Hdlbp/Fgf1/Smpd1/Abca5/Gba/Gnai1"
"GOBP_LIPID_BIOSYNTHETIC_PROCESS",2.0990436694379e-06,0.000291480836824217,0.627256739718528,0.326086853711286,1.64451207499003,407,"Hmgcs1/Insig1/Bglap3/Cyp11a1/St6galnac5/Fa2h/Far2/Hmgcr/Dhcr24/Lpcat3/Mid1ip1/Crebl2/Pik3c3/Nr1d1/Ggt6/Msmo1/Fasn/Scd1/Cerkl/Clcn2/Ppt1/Hsd17b4/Fabp3/Sptlc1/Pnpla3/Mvd/Elovl4/Acsbg1/Awat2/Prox1/Mtmr6/Plin5/Fads3/Ggt5/Mlycd/Pik3cg/Agk/G6pdx/Thnsl2/Alox8/Angptl4/Slc27a1/Acsl5/Gba2/Degs2/Pla2g3/Hmgcs2/Sirt2/Ldlr/Pld1/Sorbs1/Mfsd2a/Gstm7/Dhcr7/H6pd/Ebp/Mppe1/Gal3st1/Idi2/Gpat3/Elovl1/Sqle/Pi4k2a/Kdsr/Mtor/Atg14/Acly/Igfbp7/Smpd2/Acox1/Mcat/Mif/Fdps/Pigk/Mbtps1/A3galt2/Mtmr7/Csnk1g2/Gstm2/Gstm4/Ormdl3/Lias/Pigq/Acp6/Sh3yl1/Dolk/Gpat2/Cyp2c66/Plcg2/Prkaca/Mecr/Abhd5/Sc5d/Large1"
"GOBP_VIRAL_PROCESS",2.28174812198661e-06,0.000303075674463874,0.627256739718528,-0.407760326087981,-1.79971537266131,246,"Rpsa/Hspa1b/Hspa1a/Hsp90ab1/Ifitm1/Top2a/Ifit1bl1/Oas2/Jun/Parp9/Isg15/Kpna2/Ifih1/Cdhr3/Cd55/Sp100/Nrp1/Oas1g/Trim12c/Peg10/Mitd1/Zfp36/Paip1/Bst2/Ppid/Icam1/Gypa/Irf7/H2-Eb1/Parp10/Ccnt1/Pvr/Canx/Jpt2/Ccl5/Trim25/Epha2/Itga2/Ddx3x/Stat1/Dek/Bicd1/Smc6/Tpcn2/Pkn2/Dhx9/Znfx1/Ifi27/Rab1a/Ubp1/Tnf/Tmprss4/Atg5/Fmr1/Ddx5"
"GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION",2.78365973583976e-06,0.000348939491028337,0.627256739718528,-0.618718707860875,-2.15541659392793,51,"Hsp90aa1/Hspd1/Oas2/Tlr3/Isg15/Kpna2/Ifih1/Dhx58/Oas1g/Irf7/Arrdc4/Ddx3x/Stat1/Myd88/G3bp1/Cd14/Tbk1/Dhx9/Traf6"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS",2.92499468463201e-06,0.000348939491028337,0.627256739718528,-0.361855150388741,-1.66775833432597,376,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/Thbs1/Gbp2/Reg3g/H2-Q7/Tlr3/H2-Q2/Ptgs2/Parp9/H2-T23/S1pr1/Adam8/Zbp1/Klk1b9/Tnfaip3/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/Hspb1/Sash1/Nedd9/Plat/Rps6ka3/Nrp1/Oas1g/Trim12c/Ttbk1/Tnfsf11/Rnf125/Klk1b11/Nfkbia/Esr1/Ifi204/Irak2/Irgm1/Irf7/Il15/Hsp90b1/Pvr/Cxcl13/Clock/Ccl5/Adora2b/Klk1b1/Trim25/Itga2/Ddx3x/Ubqln1/Smad3/Tnip3/Zdhhc18/Myd88/Vegfc/Lpl/Nlrc5/Cd14/Mospd2/Tbk1/Dhx9/Traf6/Ogt/Scg2/Znfx1/Dnm1l/Ccdc134/Washc4/Tnf/Irak3/Xrcc5/Fpr2/Emilin1/Irak1/Adam17/Cd300lf/Rac1/Mfhas1/Vegfa/Hck/Akt1/Slamf6/Oasl1/Fgf16"
"GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS",2.96969779598585e-06,0.000348939491028337,0.627256739718528,0.345183287087385,1.69587163338571,319,"Insig1/Fa2h/Adipoq/Cpt1a/Mid1ip1/Slc27a4/Slc5a6/Ucp2/Nr1d1/Hlcs/Osbpl2/Pcx/Msmo1/Fasn/Scd1/Idh2/Hsd17b4/Fabp3/Pnpla3/Elovl4/Dbi/Ucp3/Acsbg1/Prox1/Plin5/Fads3/Eci2/Hacl1/Ggt5/Mlycd/D2hgdh/Thnsl2/Alox8/Bco2/Angptl4/Slc27a1/Prkar2b/Acsl5/Pla2g2f/Gba2/Foxk1/Pla2g3/Sirt2/Echdc1/Mfsd2a/Gstm7/Elovl1/Aldh1a7/Ephx1/Mtor/Acot6/Cygb/Phgdh/Acly/Pfkfb1/Acox1/Mcat/Acad9/Mif/Cyp4v3/Pex2/Echdc2/Crabp2/Gstm2/Gstm4/Nfe2l1/Ugt1a7c/Lias/Cd36/Fah/Acbd4/Fmo2/Cyp2c66/Comt/Prkaca/Mecr/Abhd5/Cav1/Naaa/Acsf2/Ptgis/Lypla2/Elovl7/P2rx7/Hsd17b12/Slc25a16/Slc1a3/Adipor2/Stard4/Mthfd1l/Cpt1b/Slc25a42/Hk2/Prkag2/Ndufs6/Cyp2w1/Gpam/Ivd/Pdk1/Acat1/Me3/Akr1a1/Sgpl1"
"GOBP_NUCLEAR_CHROMOSOME_SEGREGATION",3.19654562622353e-06,0.000361683218078255,0.627256739718528,-0.43438889181352,-1.85523377919831,186,"Hspa1b/Hspa1a/Dusp1/Top2a/Ccnb1/Cep55/Nusap1/Ncapg/Prc1/Kif18a/Ncapd2/Smc4/Tpx2/Kif11/Spc25/Ect2/Nek2/Gen1/Mapk15/Prickle1/Gem/Nuf2/Cdc20/Aurka/Bub1/Cenpf/Actr2/Cdc27/Ncaph/Ccnb2/Actb/Mad2l1/Knl1/Aspm/Ube2b/Mlh1/Cdca8/Smarca5/Dpf1/Birc5/Prpf4b/Rrs1/Kif15/Stag1/Tex15/Zfp207/Ttn/Clasp2/Racgap1/Cdk1/Rhoa/Dync1li1/Dcaf13/Actr3/Nipbl/Stag2"
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS",3.70966741033041e-06,0.000404751212091407,0.627256739718528,-0.402903811656152,-1.78393917198717,251,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/Gbp2/Reg3g/H2-Q7/Tlr3/H2-Q2/Parp9/H2-T23/Adam8/Zbp1/Klk1b9/Tnfaip3/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/Sash1/Rps6ka3/Oas1g/Trim12c/Rnf125/Klk1b11/Nfkbia/Esr1/Ifi204/Irak2/Irgm1/Irf7/H2-Eb1/Hsp90b1/Pvr/Ccl5/Klk1b1/Trim25/Ddx3x/Ubqln1/Tnip3/Zdhhc18/Myd88/Nlrc5/Cd14/Tbk1/Dhx9/Traf6/Ogt/Znfx1/Ccdc134/Washc4/Tnf/Irak3/Xrcc5/Fpr2/Emilin1"
"GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE",4.19032975591571e-06,0.000441429565666293,0.610526878385931,-0.353239488827089,-1.64056159170514,414,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/H2-DMb1/Gbp2/Reg3g/Pde4b/H2-Q7/Tlr3/H2-Q2/Parp9/H2-T23/Adam8/Zbp1/Cd177/Klk1b9/Tnfaip3/Ube2n/C7/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/H2-D1/Cd55/Rps6ka3/Tbx21/Oas1g/Trim12c/Rif1/Rnf125/Klk1b11/Nfkbia/Esr1/Ifi204/Irak2/Irgm1/Irf7/H2-Eb1/Ms4a1/Il15/Hsp90b1/Laptm5/Pvr/Jak2/Ccl5/Klk1b1/Trim25/Tap2/Ddx3x/Ubqln1/Tnip3/Ermap/Fgr/Zdhhc18/Myd88/Nlrc5/Cd14/Tbk1/B2m/Anxa1/Ceacam1/Il4ra/Cd19/Dhx9/Traf6/Ogt/Znfx1/Mlh1/Ccdc134/C8g/Washc4/H2-Ob/Tnf/Irak3/Xrcc5/Fpr2/Nos2/Klhl6/Irak1/Cd300lf/Plekha1/Mfhas1/Hck/Bmx/Cd79a/Akt1/Slamf6/Oasl1"
"GOBP_TYPE_I_INTERFERON_PRODUCTION",4.68016625880787e-06,0.000476596930688601,0.610526878385931,-0.548428423185782,-2.07476327810824,80,"Hsp90aa1/Hspd1/Irgm2/Oas2/Tlr3/Isg15/Kpna2/Ifih1/Dhx58/Oas1g/Rnf125/Irgm1/Irf7/Arrdc4/Ddx3x/Stat1/Myd88/G3bp1/Traf3ip1/Cd14/Tbk1/Dhx9/Traf6"
"GOBP_CYTOKINE_PRODUCTION",4.92972000796569e-06,0.000485815955623716,0.610526878385931,-0.355746030978363,-1.6597413415633,437,"Hsp90aa1/Hspa1b/Hspa1a/Hspd1/Irgm2/Thbs1/Pde4b/H2-Q7/Oas2/Tlr3/H2-Q2/Ptgs2/H2-T23/Isg15/Adam8/Kpna2/Tnfaip3/Bcl6/Ifih1/Zfp131/Dhx58/Gbp5/Hspb1/Rnf128/H2-D1/Cd55/Tbx21/Oas1g/Zfp36/Rnf125/Bst2/Nfkbia/Cd83/Postn/C1qtnf3/Col3a1/Plagl1/Irgm1/Irf7/H2-Eb1/Zbtb6/Cebpg/Chil1/Arrdc4/Il15/Laptm5/Cd6/Trim16/Jak2/Jph4/Litaf/Adora2b/Abcc8/Epha2/Ddx3x/Cyp1b1/Ephb2/Stat1/Smad3/Smad4/Ermap/Fgr/Rock2/Myd88/G3bp1/Lpl/Traf3ip1/Cd14/Tbk1/Mapk9/Stat3/B2m/Anxa1/Bcl6b/Ceacam1/Il4ra/Dhx9/Traf6/Spn/Adcy7/Rab1a/Zbtb26/Tnf/Adamts3/Irak3/Nos2/Atg5/Laptm4b/Irak1/Adam17/Camp/Rac1/Homer3/Creb1/Hdac9/Asb1/Adcyap1"
"GOBP_REGULATION_OF_DEFENSE_RESPONSE",6.70907248381963e-06,0.000640506763689655,0.610526878385931,-0.340946255786617,-1.59881031107705,464,"Hsp90aa1/Hspa8/Hspa1b/Hspa1a/Hspd1/Irgm2/Gbp2/Dnase1/Reg3g/Pbk/H2-Q7/Usp18/Socs3/Tlr3/H2-Q2/Ptgs2/Parp9/H2-T23/Isg15/Adam8/Zbp1/Klk1b9/Tnfaip3/Bcl6/Ifih1/Ddx60/Dhx58/Nfkbiz/Gbp5/H2-D1/Rps6ka3/Oas1g/Trim12c/Ttbk1/Tnfsf11/Rnf125/Sele/Klk1b11/Nfkbia/Esr1/Ifi204/Irak2/C1qtnf3/Irgm1/Irf7/H2-Eb1/Il15/Hsp90b1/Dtx3l/Pvr/Jak2/Clock/Erap1/Ccl5/Adora2b/Klk1b1/Trim25/Ddx3x/Grp/Fgl2/Ubqln1/Ephb2/Stat1/Smad3/Tnip3/Tnfaip6/Fgr/Zdhhc18/Ythdf3/Myd88/Lpl/Traf3ip1/Il10ra/Nlrc5/Cd14/Slamf8/Tbk1/Stat3/Anxa1/Bcl6b/Ceacam1/Ahr/Dhx9/Traf6/Spn/Ogt/Znfx1/Ccdc134/Washc4/Tnf/Irak3/Xrcc5/Fpr2/Emilin1/Atg5"
"GOBP_SISTER_CHROMATID_SEGREGATION",7.07853979211522e-06,0.000655301183785212,0.610526878385931,-0.454381689621778,-1.88975793188032,150,"Hspa1b/Hspa1a/Dusp1/Top2a/Ccnb1/Cep55/Nusap1/Ncapg/Prc1/Kif18a/Ncapd2/Smc4/Tpx2/Kif11/Spc25/Nek2/Gen1/Mapk15/Prickle1/Nuf2/Cdc20/Bub1/Cenpf/Cdc27/Ncaph/Actb/Mad2l1/Knl1/Cdca8/Smarca5/Dpf1/Birc5/Prpf4b/Rrs1/Kif15/Stag1/Zfp207/Ttn/Clasp2/Racgap1/Cdk1/Rhoa/Dync1li1/Nipbl/Stag2"
